row,daily_study_hours,weekly_study_hours,montly_study_hours,season_study_hours,total_study_hours
1,2.40 ,30,139.41,405,537.15
2,4.45,,,,
3,6.20,,,,
4,2.45,,,,
5,2.45,,,,
6,6.00,,,,
7,4.45,,,,
8,4.35,33.25,,,
9,4.00,,,,
10,5.00,,,,
11,6.10,,,,
12,6.40,,,,
13,3.00,,,,
14,4.00,,,,
15,8.00,37.15,,,
16,5.25,,,,
17,3.10,,,,
18,3.30,,,,
19,3.30,,,,
20,6.50,,,,
21,6.50,,,,
22,7.00,39,,,
23,5.15,,,,
24,7.00,,,,
25,7.25,,,,
26,5.00,,,,
27,4.35,,,,
28,2.50,,,,
29,5.50,41.41,148.25,,
30,6.30,,,,
31,4.30,,,,
32,8.40,,,,
33,6.40,,,,
34,4.30,,,,
35,5.00,,,,
36,5.15,33.31,,,
37,3.40,,,,
38,3.50,,,,
39,5.00,,,,
40,4.15,,,,
41,8.45,,,,
42,2.45,,,,
43,6.00,32.15,,,
44,3.00,,,,
45,5.00,,,,
46,6.10,,,,
47,5.20,,,,
48,5.00,,,,
49,1.45,,,,
50,6.15,41,,,
51,5.15,,,,
52,6.00,,,,
53,4.00,,,,
54,7.15,,,,
55,5.15,,,,
56,7.00,,,,
57,2.00,24.45,116.45,,
58,4.00,,,,
59,1.30,,,,
60,1.30,,,,
61,5.30,,,,
62,5.30,,,,
63,4.45,,,,
64,4.30,30.45,,,
65,3.15,,,,
66,3.15,,,,
67,3.30,,,,
68,5.30,,,,
69,5.45,,,,
70,5.00,,,,
71,5.00,34.35,,,
72,4.00,,,,
73,3.30,,,,
74,3.30,,,,
75,6.15,,,,
76,6.00,,,,
77,6.20,,,,
78,2.45,26.41,,,
79,2.30,,,,
80,3.45,,,,
81,4.50,,,,
82,4.00,,,,
83,2.35,,,,
84,6.15,,,,
85,6.00,32.45,97.31,132.15,
86,5.15,,,,
87,3.00,,,,
88,5.00,,,,
89,3.45,,,,
90,6.15,,,,
91,3.30,,,,
92,2.30,25.41,,,
93,6.00,,,,
94,4.10,,,,
95,3.00,,,,
96,3.00,,,,
97,3.00,,,,
98,4.00,,,,
99,2.20,18.35,,,
100,2.35,,,,
101,4.00,,,,
102,2.00,,,,
103,2.00,,,,
104,3.00,,,,
105,2.40,,,,
106,5.00,20.31,,,
107,2.00,,,,
108,4.00,,,,
109,2.00,,,,
110,2.00,,,,
111,2.30,,,,
112,3.00,,,,
113,2.00,34.45,34.45,,
114,4.30,,,,
115,4.15,,,,
116,4.00,,,,
117,5.00,,,,
118,4.00,,,,
119,6.00,,,,
120,5.00,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
